attribute,country,value,entity_code,income_group,econ_region,geo_region
"Primary education enrollment, net %",Kazakhstan,99.87045,KAZ,Upper middle income,Commonwealth of Independent States,Eurasia
"Quality of the education system, 1-7 (best)",Kazakhstan,3.5385523,KAZ,Upper middle income,Commonwealth of Independent States,Eurasia
"Quality of math and science education, 1-7 (best)",Kazakhstan,4.2052326,KAZ,Upper middle income,Commonwealth of Independent States,Eurasia
"Internet access in schools, 1-7 (best)",Kazakhstan,4.932327,KAZ,Upper middle income,Commonwealth of Independent States,Eurasia
"Individuals using Internet, %",Kazakhstan,76.8,KAZ,Upper middle income,Commonwealth of Independent States,Eurasia
Fixed broadband Internet subscriptions/100 pop.,Kazakhstan,13.681141,KAZ,Upper middle income,Commonwealth of Independent States,Eurasia
"Int’l Internet bandwidth, kb/s per user",Kazakhstan,87.23501,KAZ,Upper middle income,Commonwealth of Independent States,Eurasia
"Quality of primary education, 1-7 (best)",Kenya,4.0996065,KEN,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Primary education enrollment, net %",Kenya,84.87439,KEN,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of the education system, 1-7 (best)",Kenya,4.519197,KEN,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of math and science education, 1-7 (best)",Kenya,4.252496,KEN,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Internet access in schools, 1-7 (best)",Kenya,3.9304113,KEN,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Individuals using Internet, %",Kenya,26.0,KEN,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
Fixed broadband Internet subscriptions/100 pop.,Kenya,0.32919058,KEN,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Int’l Internet bandwidth, kb/s per user",Kenya,69.01425,KEN,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of primary education, 1-7 (best)","Korea, Rep.",4.622,KOR,High income,Advanced economies,East Asia and Pacific
"Primary education enrollment, net %","Korea, Rep.",98.20743,KOR,High income,Advanced economies,East Asia and Pacific
"Quality of the education system, 1-7 (best)","Korea, Rep.",3.482,KOR,High income,Advanced economies,East Asia and Pacific
"Quality of math and science education, 1-7 (best)","Korea, Rep.",4.615,KOR,High income,Advanced economies,East Asia and Pacific
"Internet access in schools, 1-7 (best)","Korea, Rep.",5.7916365,KOR,High income,Advanced economies,East Asia and Pacific
"Individuals using Internet, %","Korea, Rep.",92.716545,KOR,High income,Advanced economies,East Asia and Pacific
Fixed broadband Internet subscriptions/100 pop.,"Korea, Rep.",41.1313,KOR,High income,Advanced economies,East Asia and Pacific
"Int’l Internet bandwidth, kb/s per user","Korea, Rep.",54.252216,KOR,High income,Advanced economies,East Asia and Pacific
"Quality of primary education, 1-7 (best)",Kuwait,3.1383147,KWT,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Primary education enrollment, net %",Kuwait,92.87294,KWT,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of the education system, 1-7 (best)",Kuwait,3.322308,KWT,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of math and science education, 1-7 (best)",Kuwait,3.1930218,KWT,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Internet access in schools, 1-7 (best)",Kuwait,3.8179858,KWT,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Individuals using Internet, %",Kuwait,78.367386,KWT,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Fixed broadband Internet subscriptions/100 pop.,Kuwait,2.7553039,KWT,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Int’l Internet bandwidth, kb/s per user",Kuwait,69.51589,KWT,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of primary education, 1-7 (best)",Kyrgyz Republic,3.342039,KGZ,Lower middle income,Commonwealth of Independent States,Eurasia
"Primary education enrollment, net %",Kyrgyz Republic,97.93308,KGZ,Lower middle income,Commonwealth of Independent States,Eurasia
"Quality of the education system, 1-7 (best)",Kyrgyz Republic,3.072165,KGZ,Lower middle income,Commonwealth of Independent States,Eurasia
"Quality of math and science education, 1-7 (best)",Kyrgyz Republic,3.1439123,KGZ,Lower middle income,Commonwealth of Independent States,Eurasia
"Internet access in schools, 1-7 (best)",Kyrgyz Republic,3.5626905,KGZ,Lower middle income,Commonwealth of Independent States,Eurasia
"Individuals using Internet, %",Kyrgyz Republic,34.5,KGZ,Lower middle income,Commonwealth of Independent States,Eurasia
Fixed broadband Internet subscriptions/100 pop.,Kyrgyz Republic,4.076121,KGZ,Lower middle income,Commonwealth of Independent States,Eurasia
"Int’l Internet bandwidth, kb/s per user",Kyrgyz Republic,65.377045,KGZ,Lower middle income,Commonwealth of Independent States,Eurasia
"Quality of primary education, 1-7 (best)",Lao PDR,3.54057,LAO,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Primary education enrollment, net %",Lao PDR,92.71189,LAO,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Quality of the education system, 1-7 (best)",Lao PDR,4.010567,LAO,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Quality of math and science education, 1-7 (best)",Lao PDR,3.6685512,LAO,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Internet access in schools, 1-7 (best)",Lao PDR,3.634145,LAO,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Individuals using Internet, %",Lao PDR,21.87,LAO,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
Fixed broadband Internet subscriptions/100 pop.,Lao PDR,0.34180376,LAO,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Int’l Internet bandwidth, kb/s per user",Lao PDR,17.487,LAO,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Quality of primary education, 1-7 (best)",Latvia,4.6284523,LVA,High income,Advanced economies,Europe and North America
"Primary education enrollment, net %",Latvia,96.09931,LVA,High income,Advanced economies,Europe and North America
"Quality of the education system, 1-7 (best)",Latvia,3.6640904,LVA,High income,Advanced economies,Europe and North America
"Quality of math and science education, 1-7 (best)",Latvia,4.182796,LVA,High income,Advanced economies,Europe and North America
"Internet access in schools, 1-7 (best)",Latvia,5.2020955,LVA,High income,Advanced economies,Europe and North America
"Individuals using Internet, %",Latvia,79.88937,LVA,High income,Advanced economies,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,Latvia,25.635637,LVA,High income,Advanced economies,Europe and North America
"Int’l Internet bandwidth, kb/s per user",Latvia,246.66568,LVA,High income,Advanced economies,Europe and North America
"Quality of primary education, 1-7 (best)",Lebanon,5.422735,LBN,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Primary education enrollment, net %",Lebanon,81.77372,LBN,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of the education system, 1-7 (best)",Lebanon,4.985178,LBN,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of math and science education, 1-7 (best)",Lebanon,5.793639,LBN,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Internet access in schools, 1-7 (best)",Lebanon,4.0360055,LBN,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Individuals using Internet, %",Lebanon,76.11,LBN,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Fixed broadband Internet subscriptions/100 pop.,Lebanon,25.617262,LBN,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Int’l Internet bandwidth, kb/s per user",Lebanon,55.08632,LBN,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of primary education, 1-7 (best)",Lesotho,2.766732,LSO,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Primary education enrollment, net %",Lesotho,80.16474,LSO,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of the education system, 1-7 (best)",Lesotho,3.6402895,LSO,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of math and science education, 1-7 (best)",Lesotho,2.2733612,LSO,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Internet access in schools, 1-7 (best)",Lesotho,3.4424334,LSO,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Individuals using Internet, %",Lesotho,27.36,LSO,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
Fixed broadband Internet subscriptions/100 pop.,Lesotho,0.10410457,LSO,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Int’l Internet bandwidth, kb/s per user",Lesotho,4.4840884,LSO,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of primary education, 1-7 (best)",Liberia,2.6774487,LBR,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Primary education enrollment, net %",Liberia,37.61393,LBR,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of the education system, 1-7 (best)",Liberia,2.9810407,LBR,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of math and science education, 1-7 (best)",Liberia,2.7282422,LBR,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Internet access in schools, 1-7 (best)",Liberia,2.7976577,LBR,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Individuals using Internet, %",Liberia,7.3191066,LBR,Low income,Sub-Saharan Africa,Sub-Saharan Africa
Fixed broadband Internet subscriptions/100 pop.,Liberia,0.17336197,LBR,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Int’l Internet bandwidth, kb/s per user",Liberia,14.777242,LBR,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of primary education, 1-7 (best)",Lithuania,4.51001,LTU,High income,Advanced economies,Europe and North America
"Primary education enrollment, net %",Lithuania,97.81403,LTU,High income,Advanced economies,Europe and North America
"Quality of the education system, 1-7 (best)",Lithuania,3.5914042,LTU,High income,Advanced economies,Europe and North America
"Quality of math and science education, 1-7 (best)",Lithuania,4.551235,LTU,High income,Advanced economies,Europe and North America
"Internet access in schools, 1-7 (best)",Lithuania,5.7807207,LTU,High income,Advanced economies,Europe and North America
"Individuals using Internet, %",Lithuania,74.37665,LTU,High income,Advanced economies,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,Lithuania,28.70493,LTU,High income,Advanced economies,Europe and North America
"Int’l Internet bandwidth, kb/s per user",Lithuania,198.56436,LTU,High income,Advanced economies,Europe and North America
"Quality of primary education, 1-7 (best)",Luxembourg,4.8276463,LUX,High income,Advanced economies,Europe and North America
"Primary education enrollment, net %",Luxembourg,92.96639,LUX,High income,Advanced economies,Europe and North America
"Quality of the education system, 1-7 (best)",Luxembourg,4.35,LUX,High income,Advanced economies,Europe and North America
"Quality of math and science education, 1-7 (best)",Luxembourg,4.5668736,LUX,High income,Advanced economies,Europe and North America
"Internet access in schools, 1-7 (best)",Luxembourg,5.3155394,LUX,High income,Advanced economies,Europe and North America
"Individuals using Internet, %",Luxembourg,97.49393,LUX,High income,Advanced economies,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,Luxembourg,36.73188,LUX,High income,Advanced economies,Europe and North America
"Int’l Internet bandwidth, kb/s per user",Luxembourg,8397.884,LUX,High income,Advanced economies,Europe and North America
"Quality of primary education, 1-7 (best)",Malawi,2.4095907,MWI,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Primary education enrollment, net %",Malawi,97.48386,MWI,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of the education system, 1-7 (best)",Malawi,3.1786187,MWI,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of math and science education, 1-7 (best)",Malawi,2.713811,MWI,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Internet access in schools, 1-7 (best)",Malawi,2.687728,MWI,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Individuals using Internet, %",Malawi,9.614098,MWI,Low income,Sub-Saharan Africa,Sub-Saharan Africa
Fixed broadband Internet subscriptions/100 pop.,Malawi,0.04882714,MWI,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Int’l Internet bandwidth, kb/s per user",Malawi,4.20109,MWI,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of primary education, 1-7 (best)",Malaysia,5.1267643,MYS,Upper middle income,Emerging and Developing Asia,East Asia and Pacific
"Primary education enrollment, net %",Malaysia,98.09168,MYS,Upper middle income,Emerging and Developing Asia,East Asia and Pacific
"Quality of the education system, 1-7 (best)",Malaysia,5.1818776,MYS,Upper middle income,Emerging and Developing Asia,East Asia and Pacific
"Quality of math and science education, 1-7 (best)",Malaysia,5.2714624,MYS,Upper middle income,Emerging and Developing Asia,East Asia and Pacific
"Internet access in schools, 1-7 (best)",Malaysia,5.2880116,MYS,Upper middle income,Emerging and Developing Asia,East Asia and Pacific
"Individuals using Internet, %",Malaysia,78.78831,MYS,Upper middle income,Emerging and Developing Asia,East Asia and Pacific
Fixed broadband Internet subscriptions/100 pop.,Malaysia,8.740521,MYS,Upper middle income,Emerging and Developing Asia,East Asia and Pacific
"Int’l Internet bandwidth, kb/s per user",Malaysia,42.626972,MYS,Upper middle income,Emerging and Developing Asia,East Asia and Pacific
"Quality of primary education, 1-7 (best)",Mali,3.4111023,MLI,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Primary education enrollment, net %",Mali,55.7207,MLI,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of the education system, 1-7 (best)",Mali,3.2814577,MLI,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of math and science education, 1-7 (best)",Mali,3.640131,MLI,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Internet access in schools, 1-7 (best)",Mali,3.9188395,MLI,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Individuals using Internet, %",Mali,11.112186,MLI,Low income,Sub-Saharan Africa,Sub-Saharan Africa
Fixed broadband Internet subscriptions/100 pop.,Mali,0.034617707,MLI,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Int’l Internet bandwidth, kb/s per user",Mali,0.5981661,MLI,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of primary education, 1-7 (best)",Malta,5.4636884,MLT,High income,Advanced economies,Europe and North America
"Primary education enrollment, net %",Malta,98.4465,MLT,High income,Advanced economies,Europe and North America
"Quality of the education system, 1-7 (best)",Malta,4.9555697,MLT,High income,Advanced economies,Europe and North America
"Quality of math and science education, 1-7 (best)",Malta,5.147958,MLT,High income,Advanced economies,Europe and North America
"Internet access in schools, 1-7 (best)",Malta,5.505251,MLT,High income,Advanced economies,Europe and North America
"Individuals using Internet, %",Malta,77.2894,MLT,High income,Advanced economies,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,Malta,39.62465,MLT,High income,Advanced economies,Europe and North America
"Int’l Internet bandwidth, kb/s per user",Malta,1596.2537,MLT,High income,Advanced economies,Europe and North America
"Quality of primary education, 1-7 (best)",Mauritania,2.6240268,MRT,Lower middle income,"Middle East, North Africa, and Pakistan",Sub-Saharan Africa
"Primary education enrollment, net %",Mauritania,79.20634,MRT,Lower middle income,"Middle East, North Africa, and Pakistan",Sub-Saharan Africa
"Quality of the education system, 1-7 (best)",Mauritania,1.8527911,MRT,Lower middle income,"Middle East, North Africa, and Pakistan",Sub-Saharan Africa
"Quality of math and science education, 1-7 (best)",Mauritania,2.6523848,MRT,Lower middle income,"Middle East, North Africa, and Pakistan",Sub-Saharan Africa
"Internet access in schools, 1-7 (best)",Mauritania,2.3832593,MRT,Lower middle income,"Middle East, North Africa, and Pakistan",Sub-Saharan Africa
"Individuals using Internet, %",Mauritania,18.0,MRT,Lower middle income,"Middle East, North Africa, and Pakistan",Sub-Saharan Africa
Fixed broadband Internet subscriptions/100 pop.,Mauritania,0.2547349,MRT,Lower middle income,"Middle East, North Africa, and Pakistan",Sub-Saharan Africa
"Int’l Internet bandwidth, kb/s per user",Mauritania,4.476593,MRT,Lower middle income,"Middle East, North Africa, and Pakistan",Sub-Saharan Africa
"Quality of primary education, 1-7 (best)",Mauritius,4.543764,MUS,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Primary education enrollment, net %",Mauritius,96.14531,MUS,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of the education system, 1-7 (best)",Mauritius,4.0786552,MUS,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of math and science education, 1-7 (best)",Mauritius,4.6440163,MUS,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Internet access in schools, 1-7 (best)",Mauritius,4.217826,MUS,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Individuals using Internet, %",Mauritius,53.226177,MUS,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
Fixed broadband Internet subscriptions/100 pop.,Mauritius,16.904814,MUS,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Int’l Internet bandwidth, kb/s per user",Mauritius,63.490795,MUS,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of primary education, 1-7 (best)",Mexico,3.0031748,MEX,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Primary education enrollment, net %",Mexico,95.0583,MEX,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of the education system, 1-7 (best)",Mexico,3.0011113,MEX,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of math and science education, 1-7 (best)",Mexico,2.9151096,MEX,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Internet access in schools, 1-7 (best)",Mexico,3.9181123,MEX,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Individuals using Internet, %",Mexico,59.540447,MEX,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
Fixed broadband Internet subscriptions/100 pop.,Mexico,12.673918,MEX,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Int’l Internet bandwidth, kb/s per user",Mexico,37.5976,MEX,Upper middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of primary education, 1-7 (best)",Moldova,4.001192,MDA,Lower middle income,Commonwealth of Independent States,Eurasia
"Primary education enrollment, net %",Moldova,86.85478,MDA,Lower middle income,Commonwealth of Independent States,Eurasia
"Quality of the education system, 1-7 (best)",Moldova,3.2372246,MDA,Lower middle income,Commonwealth of Independent States,Eurasia
"Quality of math and science education, 1-7 (best)",Moldova,4.0953918,MDA,Lower middle income,Commonwealth of Independent States,Eurasia
"Internet access in schools, 1-7 (best)",Moldova,4.3620358,MDA,Lower middle income,Commonwealth of Independent States,Eurasia
"Individuals using Internet, %",Moldova,71.0,MDA,Lower middle income,Commonwealth of Independent States,Eurasia
Fixed broadband Internet subscriptions/100 pop.,Moldova,16.330498,MDA,Lower middle income,Commonwealth of Independent States,Eurasia
"Int’l Internet bandwidth, kb/s per user",Moldova,144.08743,MDA,Lower middle income,Commonwealth of Independent States,Eurasia
"Quality of primary education, 1-7 (best)",Mongolia,3.7562292,MNG,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Primary education enrollment, net %",Mongolia,96.51207,MNG,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Quality of the education system, 1-7 (best)",Mongolia,2.798468,MNG,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Quality of math and science education, 1-7 (best)",Mongolia,4.330941,MNG,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Internet access in schools, 1-7 (best)",Mongolia,4.7148614,MNG,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Individuals using Internet, %",Mongolia,22.26577,MNG,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
Fixed broadband Internet subscriptions/100 pop.,Mongolia,7.6305428,MNG,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Int’l Internet bandwidth, kb/s per user",Mongolia,166.05585,MNG,Lower middle income,Emerging and Developing Asia,East Asia and Pacific
"Quality of primary education, 1-7 (best)",Montenegro,4.123186,MNE,Upper middle income,Emerging and Developing Europe,Europe and North America
"Primary education enrollment, net %",Montenegro,92.89657,MNE,Upper middle income,Emerging and Developing Europe,Europe and North America
"Quality of the education system, 1-7 (best)",Montenegro,3.8024716,MNE,Upper middle income,Emerging and Developing Europe,Europe and North America
"Quality of math and science education, 1-7 (best)",Montenegro,4.269846,MNE,Upper middle income,Emerging and Developing Europe,Europe and North America
"Internet access in schools, 1-7 (best)",Montenegro,4.1306734,MNE,Upper middle income,Emerging and Developing Europe,Europe and North America
"Individuals using Internet, %",Montenegro,69.881645,MNE,Upper middle income,Emerging and Developing Europe,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,Montenegro,18.48166,MNE,Upper middle income,Emerging and Developing Europe,Europe and North America
"Int’l Internet bandwidth, kb/s per user",Montenegro,202.87585,MNE,Upper middle income,Emerging and Developing Europe,Europe and North America
"Quality of primary education, 1-7 (best)",Morocco,2.8438566,MAR,Lower middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Primary education enrollment, net %",Morocco,98.42964,MAR,Lower middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of the education system, 1-7 (best)",Morocco,2.713667,MAR,Lower middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of math and science education, 1-7 (best)",Morocco,3.8195817,MAR,Lower middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Internet access in schools, 1-7 (best)",Morocco,3.376906,MAR,Lower middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Individuals using Internet, %",Morocco,58.271236,MAR,Lower middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Fixed broadband Internet subscriptions/100 pop.,Morocco,3.6508098,MAR,Lower middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Int’l Internet bandwidth, kb/s per user",Morocco,25.70152,MAR,Lower middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
"Quality of primary education, 1-7 (best)",Mozambique,2.1424828,MOZ,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Primary education enrollment, net %",Mozambique,89.13281,MOZ,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of the education system, 1-7 (best)",Mozambique,2.7231958,MOZ,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of math and science education, 1-7 (best)",Mozambique,2.6256037,MOZ,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Internet access in schools, 1-7 (best)",Mozambique,3.0298722,MOZ,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Individuals using Internet, %",Mozambique,17.521238,MOZ,Low income,Sub-Saharan Africa,Sub-Saharan Africa
Fixed broadband Internet subscriptions/100 pop.,Mozambique,0.14493223,MOZ,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Int’l Internet bandwidth, kb/s per user",Mozambique,1.1145351,MOZ,Low income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of primary education, 1-7 (best)",Namibia,3.578719,NAM,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Primary education enrollment, net %",Namibia,89.7437,NAM,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of the education system, 1-7 (best)",Namibia,3.277038,NAM,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of math and science education, 1-7 (best)",Namibia,3.21626,NAM,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Internet access in schools, 1-7 (best)",Namibia,3.3603551,NAM,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Individuals using Internet, %",Namibia,31.033346,NAM,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
Fixed broadband Internet subscriptions/100 pop.,Namibia,2.1912608,NAM,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Int’l Internet bandwidth, kb/s per user",Namibia,15.915365,NAM,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of primary education, 1-7 (best)",Nepal,3.7755446,NPL,Low income,Emerging and Developing Asia,South Asia
"Primary education enrollment, net %",Nepal,96.96362,NPL,Low income,Emerging and Developing Asia,South Asia
"Quality of the education system, 1-7 (best)",Nepal,3.6546135,NPL,Low income,Emerging and Developing Asia,South Asia
"Quality of math and science education, 1-7 (best)",Nepal,4.07906,NPL,Low income,Emerging and Developing Asia,South Asia
"Internet access in schools, 1-7 (best)",Nepal,3.5708504,NPL,Low income,Emerging and Developing Asia,South Asia
"Individuals using Internet, %",Nepal,19.688765,NPL,Low income,Emerging and Developing Asia,South Asia
Fixed broadband Internet subscriptions/100 pop.,Nepal,0.7795836,NPL,Low income,Emerging and Developing Asia,South Asia
"Int’l Internet bandwidth, kb/s per user",Nepal,3.8856378,NPL,Low income,Emerging and Developing Asia,South Asia
"Quality of primary education, 1-7 (best)",Netherlands,5.9316616,NLD,High income,Advanced economies,Europe and North America
"Primary education enrollment, net %",Netherlands,98.30618,NLD,High income,Advanced economies,Europe and North America
"Quality of the education system, 1-7 (best)",Netherlands,5.447918,NLD,High income,Advanced economies,Europe and North America
"Quality of math and science education, 1-7 (best)",Netherlands,5.6878552,NLD,High income,Advanced economies,Europe and North America
"Internet access in schools, 1-7 (best)",Netherlands,5.974203,NLD,High income,Advanced economies,Europe and North America
"Individuals using Internet, %",Netherlands,90.41096,NLD,High income,Advanced economies,Europe and North America
Fixed broadband Internet subscriptions/100 pop.,Netherlands,42.16312,NLD,High income,Advanced economies,Europe and North America
"Int’l Internet bandwidth, kb/s per user",Netherlands,196.10522,NLD,High income,Advanced economies,Europe and North America
"Quality of primary education, 1-7 (best)",New Zealand,5.696787,NZL,High income,Advanced economies,East Asia and Pacific
"Primary education enrollment, net %",New Zealand,99.08248,NZL,High income,Advanced economies,East Asia and Pacific
"Quality of the education system, 1-7 (best)",New Zealand,5.35439,NZL,High income,Advanced economies,East Asia and Pacific
"Quality of math and science education, 1-7 (best)",New Zealand,5.2542253,NZL,High income,Advanced economies,East Asia and Pacific
"Internet access in schools, 1-7 (best)",New Zealand,6.1581817,NZL,High income,Advanced economies,East Asia and Pacific
"Individuals using Internet, %",New Zealand,88.470184,NZL,High income,Advanced economies,East Asia and Pacific
Fixed broadband Internet subscriptions/100 pop.,New Zealand,32.39908,NZL,High income,Advanced economies,East Asia and Pacific
"Int’l Internet bandwidth, kb/s per user",New Zealand,109.60135,NZL,High income,Advanced economies,East Asia and Pacific
"Quality of primary education, 1-7 (best)",Nicaragua,2.4545455,NIC,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Primary education enrollment, net %",Nicaragua,96.9525,NIC,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of the education system, 1-7 (best)",Nicaragua,2.2727273,NIC,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of math and science education, 1-7 (best)",Nicaragua,2.4545455,NIC,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Internet access in schools, 1-7 (best)",Nicaragua,3.1162791,NIC,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Individuals using Internet, %",Nicaragua,24.571835,NIC,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
Fixed broadband Internet subscriptions/100 pop.,Nicaragua,2.7914228,NIC,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Int’l Internet bandwidth, kb/s per user",Nicaragua,29.161093,NIC,Lower middle income,Latin America and the Caribbean,Latin America and the Caribbean
"Quality of primary education, 1-7 (best)",Nigeria,2.8326843,NGA,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Primary education enrollment, net %",Nigeria,63.8372,NGA,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
"Quality of the education system, 1-7 (best)",Nigeria,2.7869036,NGA,Lower middle income,Sub-Saharan Africa,Sub-Saharan Africa
